epoch,train_mae,lr
1,26.374476,9.89e-04
2,7.409328,9.57e-04
3,6.587822,9.05e-04
4,5.084881,8.36e-04
5,5.723745,7.52e-04
6,5.471025,6.58e-04
7,4.641818,5.57e-04
8,4.011853,4.53e-04
9,4.123170,3.52e-04
10,3.581565,2.58e-04
11,3.362543,1.74e-04
12,3.077450,1.05e-04
13,2.915507,5.28e-05
14,2.626483,2.08e-05
15,2.671108,1.00e-05
